web-scraper-order,web-scraper-start-url,title,title-href,nama,harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
1686134357-1,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-kost-dijual-11-kamar-tidur-dekat-kampus-uii-jogja-utara-oleh-imam-ali-21729783,Rumah Kost Dijual 11 Kamar Tidur Dekat Kampus UII Jogja Utara,"Rp 2,8405 M","jl kaliurang km 14 sleman, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",186 m²,212 m²,10 tidur,10 mandi,3500 Watt,,2,SHM - Sertifikat Hak Milik
1686134360-2,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-murah-2-lantai-900-jutaan-dalam-cluster-one-gate-di-sleman-oleh-haryadi-lisya-martha-21729867,Rumah Murah 2 Lantai 900 Jutaan Dalam Cluster One Gate di Sleman,"Rp 980,29093 jt","Jalan Kaliurang Km.12 Ngaglik, Sleman, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",90 m²,100 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686134364-3,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-dijual-murah-rumah-di-pusat-kota-sleman-oleh-mas-faridl-21729883,Dijual Murah Rumah di Pusat Kota Sleman,Rp 490 jt,"Jalan Kp. Mangsel Wetan, Seyegan, Sleman, Seyegan, Sleman, DI Yogyakarta Jelajahi di Peta",60 m²,90 m²,3 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134368-4,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-murah-dengan-mezzanine-dalam-cluster-di-jakal-sleman-oleh-haryadi-lisya-martha-21729895,Rumah Murah Dengan Mezzanine Dalam Cluster di Jakal Sleman,"Rp 780,29393 jt","Jalan Kaliurang Km.12 Ngaglik, Sleman, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",84 m²,100 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686134371-5,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-hunian-murah-dengan-mezzanine-dalam-cluster-di-ngaglik-sleman-oleh-haryadi-lisya-martha-21729919,Hunian Murah Dengan Mezzanine Dalam Cluster di Ngaglik Sleman,"Rp 780,939 jt","Jalan Kaliurang Km.12 Ngaglik, Sleman, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",84 m²,100 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134375-6,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-jogja-oleh-arif-faiza-21730010,Rumah Dijual di Jogja,"Rp 1,799 M","Jl. Jend. Sudirman No.19, Cokrodiningratan, Jetis, Yogyakarta, DI Yogyakarta Jelajahi di Peta",154 m²,130 m²,3 tidur,3 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686134379-7,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-yogyakarta-oleh-arif-faiza-21730064,Rumah Dijual di Yogyakarta,"Rp 1,799 M","Jl. Malioboro No.52 - 58, Suryatmajan, Danurejan, Yogyakarta, DI Yogyakarta Jelajahi di Peta",154 m²,130 m²,3 tidur,3 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686134384-8,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-modern-2-lantai-tinggal-finishing-dekat-sleman-city-hall-oleh-hanan-21729999,Rumah Modern 2 Lantai Tinggal Finishing dekat Sleman City Hall,"Rp 845,0099 jt","Sleman, Sleman, DI Yogyakarta Jelajahi di Peta",80 m²,124 m²,4 tidur,2 mandi,2200 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134387-9,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-klasik-modern-di-panjatan-kulon-progo-dekat-bandara-internasional-yia-jogja-oleh-joko-suwanto-21730108,Rumah Klasik Modern di Panjatan Kulon Progo dekat bandara internasional YIA jogja,"Rp 575,074104 jt","Jalan wates, Panjatan, Kulon Progo, DI Yogyakarta Jelajahi di Peta",60 m²,112 m²,3 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134390-10,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-dalam-ring-road-janti-desain-modern-2-lantai-oleh-joko-suwanto-21730185,DALAM RING ROAD JANTI DESAIN MODERN 2 LANTAI,"Rp 1,908700202 M","Jalan oro, Mlati, Sleman, DI Yogyakarta Jelajahi di Peta",80 m²,98 m²,3 tidur,2 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686134393-11,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-yogyakarta-oleh-arif-faiza-21730211,Rumah Dijual di Yogyakarta,"Rp 1,799 M","Jl. Magelang, Mlati Dukuh, Sendangadi, Mlati, Sleman, DI Yogyakarta Jelajahi di Peta",154 m²,130 m²,3 tidur,3 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686134396-12,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-jual-rumah-ada-kolam-renang-tepi-jalan-aspal-dekat-kampus-uii-oleh-tika-21730266,Jual Rumah Ada Kolam Renang Tepi Jalan Aspal Dekat Kampus UII,"Rp 16,9958 M","jl kaliurang km 9 sleman, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",95 m²,143 m²,4 tidur,3 mandi,3500 Watt,,2,SHM - Sertifikat Hak Milik
1686134399-13,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-kost-dijual-jakal-km-14-5-include-kolam-renang-oleh-imam-ali-21730301,"KOST DIJUAL JAKAL KM 14,5 INCLUDE KOLAM RENANG","Rp 2,8855 M","Jl Kaliurang, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",179 m²,212 m²,10 tidur,10 mandi,3500 Watt,Tak Berperabot,6,SHM - Sertifikat Hak Milik
1686134403-14,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-jual-rumah-lokasi-strategis-sleman-jogja-dekat-ugm-dan-uii-oleh-tika-21730307,Jual Rumah Lokasi Strategis Sleman Jogja Dekat UGM dan UII,"Rp 16,9958 M","jl kaliurang km 9 sleman, Ngaglik, Sleman, DI Yogyakarta Jelajahi di Peta",95 m²,143 m²,4 tidur,3 mandi,3500 Watt,,,SHM - Sertifikat Hak Milik
1686134408-15,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-dijual-murah-rumah-dekat-kampus-upn-mangku-aspal-dalam-ringroad-oleh-intan-nuraini-21703657,DIJUAL MURAH RUMAH DEKAT KAMPUS UPN MANGKU ASPAL DALAM RINGROAD,"Rp 1,7 M","Depok, Sleman, DI Yogyakarta Jelajahi di Peta",174 m²,197 m²,6 tidur,2 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134412-16,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-murah-di-wirobrajan-dekat-sma-teladan-oleh-intan-nuraini-21685941,DIJUAL RUMAH CANTIK & MURAH DI WIROBRAJAN DEKAT SMA TELADAN,Rp 650 jt,"Wirobrajan, Yogyakarta, DI Yogyakarta Jelajahi di Peta",79 m²,79 m²,2 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134416-17,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-strategis-tengah-kota-jogja-dekat-alun-alun-kidul-oleh-intan-nuraini-21685930,DIJUAL RUMAH CANTIK STRATEGIS TENGAH KOTA JOGJA DEKAT ALUN-ALUN KIDUL,"Rp 1,6 M","Wirobrajan, Yogyakarta, DI Yogyakarta Jelajahi di Peta",185 m²,114 m²,3 tidur,2 mandi,2200 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134420-18,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-dekat-sleman-city-hall-dan-masjid-suciati-jalan-gito-gati-mobil-papasan-oleh-intan-nuraini-21704258,DIJUAL RUMAH CANTIK DEKAT SLEMAN CITY HALL DAN MASJID SUCIATI JALAN GITO GATI MOBIL PAPASAN,Rp 925 jt,"Sleman, Sleman, DI Yogyakarta Jelajahi di Peta",65 m²,101 m²,2 tidur,1 mandi,1300 Watt,Sebagian,1,SHM - Sertifikat Hak Milik
1686134423-19,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-dijual-kost-kostan-exclusive-tepi-jalan-raya-utama-dekat-malioboro-oleh-intan-nuraini-21685954,DIJUAL KOST-KOSTAN EXCLUSIVE TEPI JALAN RAYA UTAMA DEKAT MALIOBORO,"Rp 2,5 M","Tegalrejo, Yogyakarta, DI Yogyakarta Jelajahi di Peta",270 m²,150 m²,10 tidur,10 mandi,2200 Watt,Sebagian,3,SHM - Sertifikat Hak Milik
1686134427-20,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/100,,https://www.rumah.com/listing-properti/dijual-investasi-hunian-strategis-di-berbah-timur-kotagede-oleh-andriani-purwita-21730398,investasi hunian strategis di berbah timur kotagede,Rp 665 jt,"jalan berbah, Berbah, Sleman, DI Yogyakarta Jelajahi di Peta",45 m²,105 m²,2 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134435-21,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/99,,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-yogyakarta-oleh-arif-faiza-21730391,Rumah Dijual di Yogyakarta,"Rp 1,799 M","Jl. Godean No.KM. 2.8, Kembang, Ngestiharjo, Kasihan, Bantul, DI Yogyakarta Jelajahi di Peta",154 m²,130 m²,3 tidur,3 mandi,2200 Watt,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1686134441-22,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/99,,https://www.rumah.com/listing-properti/dijual-hotel-dijual-di-jogja-dekat-malioboro-oleh-feri-fernandri-21730497,HOTEL DIJUAL DI JOGJA DEKAT MALIOBORO,Rp 7 M,"Mantrijeron, Yogyakarta, DI Yogyakarta Jelajahi di Peta",700 m²,300 m²,10 tidur,10 mandi,5500 Watt,Lengkap,5,SHM - Sertifikat Hak Milik
1686134447-23,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/99,,https://www.rumah.com/listing-properti/dijual-sisa-4-unit-saja-harga-400juta-10-menit-dari-kotagede-oleh-nurul-isnaini-21730514,SISA 4 UNIT SAJA HARGA 400JUTA 10 MENIT DARI KOTAGEDE,"Rp 402,002003 jt","jalan pleret km 4 dusun gunungan, Banguntapan, Bantul, DI Yogyakarta Jelajahi di Peta",55 m²,78 m²,2 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134452-24,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/99,,https://www.rumah.com/listing-properti/dijual-rumah-dibawah-300-juta-akses-dekat-jl-manisrenggo-prambanan-oleh-hanan-21730555,Rumah Dibawah 300 Juta Akses dekat Jl Manisrenggo Prambanan,"Rp 254,008 jt","Prambanan, Sleman, DI Yogyakarta Jelajahi di Peta",36 m²,62 m²,2 tidur,1 mandi,900 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1686134456-25,https://www.rumah.com/rumah-dijual/di-area-di-yogyakarta-idyo/99,,https://www.rumah.com/listing-properti/dijual-bantul-oleh-erfin-farreza-21730621,bantul,"Rp 523,456 jt","bangunjiwo, Kasihan, Bantul, DI Yogyakarta Jelajahi di Peta",55 m²,105 m²,3 tidur,1 mandi,1300 Watt,Tak Berperabot,1,SHM - Sertifikat Hak Milik
