harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
980290930,Sleman,90,100,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
490000000,Sleman,60,90,3,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
780293930,Sleman,84,100,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
780939000,Sleman,84,100,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1799000000,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1799000000,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
845009900,Sleman,80,124,4,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
575074104,Kulon Progo,60,112,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1908700202,Sleman,80,98,3,2,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1799000000,Sleman,154,130,3,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2885500000,Sleman,179,212,10,10,3500,Tak Berperabot,6,SHM - Sertifikat Hak Milik
1700000000,Sleman,174,197,6,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
650000000,Yogyakarta,79,79,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1600000000,Yogyakarta,185,114,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
925000000,Sleman,65,101,2,1,1300,Sebagian,1,SHM - Sertifikat Hak Milik
2500000000,Yogyakarta,270,150,10,10,2200,Sebagian,3,SHM - Sertifikat Hak Milik
665000000,Sleman,45,105,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1799000000,Bantul,154,130,3,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
7000000000,Yogyakarta,700,300,10,10,5500,Lengkap,5,SHM - Sertifikat Hak Milik
402002003,Bantul,55,78,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
254008000,Sleman,36,62,2,1,900,Tak Berperabot,1,SHM - Sertifikat Hak Milik
523456000,Bantul,55,105,3,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1300000000,Yogyakarta,140,180,4,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1300000000,Yogyakarta,140,180,4,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
400900000,Sleman,50,109,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
407001000,Bantul,59,82,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
485000000,Sleman,51,96,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1799000000,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
300000000,Sleman,36,80,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
691000000,Sleman,60,83,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
400888990,Bantul,60,83,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
280000000,Sleman,36,60,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
280000000,Sleman,36,66,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2337300000,Sleman,110,236,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2337300000,Sleman,110,236,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2295300000,Sleman,110,229,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2091524999,Sleman,110,196,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
300000000,Sleman,36,90,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
380000000,Yogyakarta,80,90,2,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
380000000,Yogyakarta,80,90,2,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
3300000000,Sleman,1065,213,5,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
15000000000,Yogyakarta,700,796,10,10,13200,Sebagian,7,SHM - Sertifikat Hak Milik
980000000,Yogyakarta,90,88,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
980000000,Yogyakarta,90,88,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
750000880,Sleman,60,115,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
435000000,Yogyakarta,36,79,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
435000000,Yogyakarta,36,79,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2400000000,Yogyakarta,120,199,3,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2400000000,Yogyakarta,120,199,3,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
242000000,Sleman,30,60,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1500000000,Sleman,198,198,6,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2400000000,Sleman,192,346,10,10,3500,Tak Berperabot,4,SHM - Sertifikat Hak Milik
2500000000,Sleman,113,126,3,2,5500,Lengkap,1,SHM - Sertifikat Hak Milik
3300000000,Sleman,245,701,4,4,3500,Tak Berperabot,3,SHM - Sertifikat Hak Milik
2900000000,Yogyakarta,165,160,10,10,1300,Lengkap,3,SHM - Sertifikat Hak Milik
1500000000,Sleman,100,110,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2250000000,Bantul,200,408,2,2,1300,Tak Berperabot,4,SHM - Sertifikat Hak Milik
9500000000,Sleman,500,1695,10,8,0,Sebagian,10,SHM - Sertifikat Hak Milik
1500000000,Sleman,250,144,5,4,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
